source, target, value
10,23,17
36,37,16
36,38,16
37,38,16
35,36,11
35,37,11
35,38,11
6,8,8
10,32,8
23,32,8
6,43,6
3,23,5
23,75,5
3,10,4
3,4,4
10,30,4
10,11,4
10,49,4
3,64,3
10,48,3
10,26,3
23,26,3
3,45,2
3,9,2
5,8,2
6,10,2
6,11,2
6,17,2
6,77,2
8,10,2
8,13,2
8,20,2
10,42,2
10,90,2
10,50,2
10,80,2
14,32,2
22,23,2
23,90,2
32,33,2
32,92,2
98,10,1
0,10,1
1,3,1
2,10,1
99,32,1
3,12,1
3,57,1
3,8,1
3,16,1
3,26,1
3,27,1
3,82,1
3,25,1
6,31,1
6,88,1
6,63,1
6,65,1
6,7,1
6,90,1
6,67,1
6,54,1
6,15,1
6,68,1
6,69,1
6,70,1
6,18,1
6,19,1
6,76,1
6,23,1
6,93,1
6,56,1
6,79,1
6,78,1
6,83,1
6,29,1
6,58,1
8,30,1
8,24,1
8,70,1
8,59,1
8,54,1
8,26,1
8,69,1
8,60,1
8,62,1
8,90,1
8,63,1
8,68,1
8,29,1
8,61,1
10,84,1
10,85,1
10,39,1
10,40,1
10,41,1
10,44,1
10,45,1
10,89,1
10,67,1
10,54,1
10,91,1
10,51,1
10,75,1
10,55,1
10,56,1
10,57,1
10,28,1
11,32,1
11,23,1
101,32,1
21,32,1
22,35,1
23,30,1
23,51,1
23,35,1
23,61,1
23,39,1
23,40,1
23,41,1
23,42,1
23,45,1
23,46,1
23,47,1
23,67,1
23,28,1
23,91,1
23,71,1
23,72,1
23,73,1
23,74,1
23,52,1
23,53,1
23,54,1
23,94,1
23,95,1
23,80,1
23,27,1
23,97,1
23,81,1
100,32,1
32,34,1
32,97,1
32,75,1
35,45,1
35,66,1
36,45,1
36,96,1
36,86,1
36,66,1
36,90,1
36,87,1
37,45,1
37,96,1
37,86,1
37,66,1
37,90,1
37,87,1
38,45,1
38,96,1
38,86,1
38,66,1
38,90,1
38,87,1
